iterm,facet,domain,subject,lword
occupancy rate,concept,Business Strategy,asset management,occupancy rate
operating cost,concept,Business Strategy,economic analysis,operating cost
operating strategy,concept,Business Strategy,business,operating strategy
operation and maintenance,phenomenon_process,Business Strategy,maintenance engineering,operation and maintenance
operational research,theoretical_framing,Business Strategy,management,operational research
operational saving,concept,Business Strategy,financial management,operational saving
operations management,phenomenon_process,Business Strategy,management,operations management
organizational strategy,concept,Business Strategy,business,organizational strategy
participatory management,phenomenon_process,Business Strategy,management,participatory management
path dependency,phenomenon_process,Business Strategy,strategic management,path dependency
path-breaking transition,phenomenon_process,Business Strategy,business,path-breaking transition
pavement maintenance and rehabilitation,phenomenon_process,Business Strategy,maintenance engineering,pavement maintenance and rehabilitation
payback,concept,Business Strategy,economic analysis,payback
payment mechanism,concept,Business Strategy,economic analysis,payment mechanism
payment trust,concept,Business Strategy,economic analysis,payment trust
payment type,concept,Business Strategy,economic analysis,payment type
physical asset,concept,Business Strategy,asset management,physical asset
physical asset characteristics,concept,Business Strategy,asset management,physical asset characteristics
physical asset management,concept,Business Strategy,asset management,physical asset management
planned preventative maintenance,concept,Business Strategy,maintenance engineering,planned preventative maintenance
plant hire,concept,Business Strategy,maintenance engineering,plant hire
Porter’s generic strategy,concept,Business Strategy,business,Porter’s generic strategy
portfolio selection,phenomenon_process,Business Strategy,asset management,portfolio selection
practice development,phenomenon_process,Business Strategy,business,practice development
practice management,phenomenon_process,Business Strategy,management,practice management
practicing innovation,phenomenon_process,Business Strategy,innovation studies,practicing innovation
precast process optimization,phenomenon_process,Business Strategy,management,precast process optimization
predictive maintenance,concept,Business Strategy,maintenance engineering,predictive maintenance
prefabricated house,phenomenon_object,Business Strategy,construction integration,prefabricated house
preventive maintenance,phenomenon_process,Business Strategy,maintenance engineering,preventive maintenance
price forecasting model,concept,Business Strategy,economic analysis,price forecasting model
pricing,phenomenon_process,Business Strategy,economic analysis,pricing
private enterprise,phenomenon_object,Business Strategy,organization,private enterprise
private equity,concept,Business Strategy,economic analysis,private equity
private rented sector,concept,Business Strategy,industry analysis,private rented sector
private sector organization,phenomenon_object,Business Strategy,organization,private sector organization
privatization,concept,Business Strategy,economic analysis,privatization
process analysis,concept,Business Strategy,management,process analysis
process change,phenomenon_process,Business Strategy,management,process change
process compliance,concept,Business Strategy,management,process compliance
process improvement,phenomenon_process,Business Strategy,management,process improvement
process interface,concept,Business Strategy,management,process interface
process management,concept,Business Strategy,management,process management
process simulation,phenomenon_process,Business Strategy,management,process simulation
process transparency,concept,Business Strategy,management,process transparency
product development,concept,Business Strategy,innovation studies,product development
product development process,phenomenon_process,Business Strategy,innovation studies,product development process
product differentiation,concept,Business Strategy,business,product differentiation
product information,concept,Business Strategy,innovation studies,product information
product innovation,phenomenon_process,Business Strategy,innovation studies,product innovation
product life cycle,phenomenon_process,Business Strategy,innovation studies,product life cycle
product orientation,concept,Business Strategy,innovation studies,product orientation
productivity,concept,Business Strategy,management,productivity
professional management agency,phenomenon_object,Business Strategy,organization,professional management agency
profit,concept,Business Strategy,economic analysis,profit
profitability,concept,Business Strategy,economic analysis,profitability
profitability performance,concept,Business Strategy,economic analysis,profitability performance
project prioritization,concept,Business Strategy,asset management,project prioritization
property return,concept,Business Strategy,economic analysis,property return
prospect theory,theoretical_framing,Business Strategy,economic analysis,prospect theory
public good,concept,Business Strategy,economic analysis,public good
real estate investement trust,concept,Business Strategy,economic analysis,real estate investement trust
real option,concept,Business Strategy,economic analysis,real option
real time operation,concept,Business Strategy,management,real time operation
rebound effect,concept,Business Strategy,economic analysis,rebound effect
recession,concept,Business Strategy,economic analysis,recession
reconfiguration,phenomenon_process,Business Strategy,organization,reconfiguration
regional economic,theoretical_framing,Business Strategy,economic analysis,regional economic
regionalism,theoretical_framing,Business Strategy,economic analysis,regionalism
relationship marketing,concept,Business Strategy,business,relationship marketing
relative advantage,concept,Business Strategy,innovation studies,relative advantage
reliability centred maintenance,concept,Business Strategy,maintenance engineering,reliability centred maintenance
rent default,concept,Business Strategy,economic analysis,rent default
rental market,concept,Business Strategy,economic analysis,rental market
repair,concept,Business Strategy,maintenance engineering,repair
Reserve Bank of India,phenomenon_object,Business Strategy,economic analysis,Reserve Bank of India
residential construction,phenomenon_process,Business Strategy,construction integration,residential construction
residential livability,concept,Business Strategy,economic analysis,residential livability
residential practice,concept,Business Strategy,economic analysis,residential practice
residential satisfaction,concept,Business Strategy,economic analysis,residential satisfaction
residents' satisfaction index,concept,Business Strategy,economic analysis,residents' satisfaction index
resource based theory,theoretical_framing,Business Strategy,economic analysis,resource based theory
resource-based view,theoretical_framing,Business Strategy,management,resource based view
resource efficiency,concept,Business Strategy,management,resource efficiency
resource-based theory,theoretical_framing,Business Strategy,management,resource-based theory
resource-based view,theoretical_framing,Business Strategy,management,resource-based view
return on assets,concept,Business Strategy,economic analysis,return on assets
return on investment,concept,Business Strategy,economic analysis,return on investment
revenue,concept,Business Strategy,economic analysis,revenue
risk premium,concept,Business Strategy,economic analysis,risk premium
risk-free rate,concept,Business Strategy,economic analysis,risk-free rate
savings,concept,Business Strategy,economic analysis,savings
scaling,concept,Business Strategy,organization,scaling
scenario planning,phenomenon_process,Business Strategy,management,scenario planning
scientific management,concept,Business Strategy,management,scientific management
secondary equity market,concept,Business Strategy,economic analysis,secondary equity market
self build,concept,Business Strategy,construction integration,self build
self-employment,concept,Business Strategy,business economics,self-employment
service life,concept,Business Strategy,asset management,service life
service trading,phenomenon_process,Business Strategy,organization,service trading
service-dominant logic,concept,Business Strategy,organization,service-dominant logic
service-led relationship,concept,Business Strategy,relationship marketing,service-led relationship
servicing,phenomenon_process,Business Strategy,maintenance engineering,servicing
servitization,concept,Business Strategy,market strategies,servitization
simplification,concept,Business Strategy,management,simplification
single-family house owner,concept,Business Strategy,economic analysis,single-family house owner
social marketing,concept,Business Strategy,marketing,social marketing
specialization,concept,Business Strategy,business,specialization
stabilization,concept,Business Strategy,economic analysis,stabilization
startup,phenomenon_object,Business Strategy,business,startup
start-up contractor,phenomenon_object,Business Strategy,organization,start-up contractor
step-change,phenomenon_process,Business Strategy,innovation studies,step-change
stock dynamics,concept,Business Strategy,economic analysis,stock dynamics
stock model,concept,Business Strategy,economic analysis,stock model
strategic analysis,concept,Business Strategy,business,strategic analysis
strategic fit,concept,Business Strategy,management,strategic fit
strategic management,concept,Business Strategy,management,strategic management
strategic management framework,concept,Business Strategy,management,strategic management framework
strategic planning,phenomenon_process,Business Strategy,management,strategic planning
strategic quality planning,phenomenon_process,Business Strategy,strategic management,strategic quality planning
strategy,concept,Business Strategy,management,strategy
strategy-as-practice,theoretical_framing,Business Strategy,management,strategy-as-practice
streamlining,phenomenon_process,Business Strategy,management,streamlining
subsidy,concept,Business Strategy,economic analysis,subsidy
support mechanism,concept,Business Strategy,organization,support mechanism
systemic innovation,phenomenon_process,Business Strategy,management,systemic innovation
tangible capital,concept,Business Strategy,asset management,tangible capital
tangible capital asset,phenomenon_object,Business Strategy,asset management,tangible capital asset
tangible capital asset ontology,concept,Business Strategy,economic analysis,tangible capital asset ontology
technological change,concept,Business Strategy,innovation studies,technological change
technology management,phenomenon_process,Business Strategy,innovation studies,technology management
technology partnering,phenomenon_process,Business Strategy,innovation studies,technology partnering
technology policy,concept,Business Strategy,strategic management,technology policy
technology strategy,phenomenon_object,Business Strategy,business,technology strategy
technology-as-process,concept,Business Strategy,innovation studies,technology-as-process
temporality,concept,Business Strategy,business,temporality
temporary multi-organization,concept,Business Strategy,business,temporary multi-organization
theory of production,theoretical_framing,Business Strategy,economic analysis,theory of production
time efficiency,concept,Business Strategy,management,time efficiency
time reduction,concept,Business Strategy,management,time reduction
total asset management,concept,Business Strategy,asset management,total asset management
total constraint management,concept,Business Strategy,management,total constraint management
tower crane,phenomenon_object,Business Strategy,maintenance engineering,tower crane
trade balance,concept,Business Strategy,economic analysis,trade balance
trade performance,concept,Business Strategy,economic analysis,trade performance
transformability,concept,Business Strategy,business,transformability
transformation,phenomenon_process,Business Strategy,business,transformation
transition pathway,concept,Business Strategy,business,transition pathway
trialability,concept,Business Strategy,innovation studies,trialability
trust fund,concept,Business Strategy,economic analysis,trust fund
turnover,concept,Business Strategy,business management,turnover
unemployment,concept,Business Strategy,economic analysis,unemployment
upgrade decision-making,phenomenon_process,Business Strategy,strategic management,upgrade decision-making
upgrading,phenomenon_process,Business Strategy,strategic management,upgrading
utility life,concept,Business Strategy,management,utility life
value capture,concept,Business Strategy,business models,value capture
value index,analytical_technique,Business Strategy,economic analysis,value index
value stream map,analytical_technique,Business Strategy,lean construction,value stream map
value stream mapping,analytical_technique,Business Strategy,business,value stream mapping
vector error correction model,analytical_technique,Business Strategy,economic analysis,vector error correction model
visual management,concept,Business Strategy,management,visual management
whole-life management,phenomenon_process,Business Strategy,asset management,whole-life management
windfall profit,concept,Business Strategy,economic analysis,windfall profit
word-of-mouth,concept,Business Strategy,management,word-of-mouth
work study,phenomenon_process,Business Strategy,management,work study
workflow,phenomenon_process,Business Strategy,management,workflow
bamboo,phenomenon_object,Construction Materials,traditional and composite building materials,bamboo
bioconcrete,phenomenon_object,Construction Materials,sustainable materials,bioconcrete
biodegradability,concept,Construction Materials,material degradation and durability,biodegradability
block laying,phenomenon_process,Construction Materials,building construction,block laying
block production process,phenomenon_process,Construction Materials,manufacturing,block production process
carbon nanotube,phenomenon_object,Construction Materials,specialized materials and systems,carbon nanotube
carbonation,phenomenon_process,Construction Materials,materials science,carbonation
chemical property,concept,Construction Materials,material properties and characteristics,chemical property
coating,phenomenon_object,Construction Materials,building materials,coating
composite,phenomenon_object,Construction Materials,materials science,composite
compression,concept,Construction Materials,material properties and characteristics,compression
compressive strength,concept,Construction Materials,material analysis and testing,compressive strength
conductivity,concept,Construction Materials,material properties and characteristics,conductivity
controlled release,concept,Construction Materials,material properties and characteristics,controlled release
copper,phenomenon_object,Construction Materials,traditional and composite building materials,copper
corrosion,concept,Construction Materials,material degradation and durability,corrosion
crystal structure,concept,Construction Materials,material properties and characteristics,crystal structure
crystallinity,concept,Construction Materials,material properties and characteristics,crystallinity
crystallization,concept,Construction Materials,material science and engineering,crystallization
curing,phenomenon_process,Construction Materials,concrete and cementitious materials,curing
deformation,concept,Construction Materials,material properties and characteristics,deformation
degradation,concept,Construction Materials,material degradation and durability,degradation
deterioration,concept,Construction Materials,material degradation and durability,deterioration
disintegration,concept,Construction Materials,material degradation and durability,disintegration
drying time,concept,Construction Materials,material properties and characteristics,drying time
ductility,concept,Construction Materials,material properties and characteristics,ductility
durability,concept,Construction Materials,material degradation and durability,durability
electrochromism,concept,Construction Materials,material properties and characteristics,electrochromism
eutectic,concept,Construction Materials,material properties and characteristics,eutectic
extrusion,phenomenon_process,Construction Materials,manufacturing engineering,extrusion
fiber reinforced concrete,phenomenon_object,Construction Materials,traditional and composite building materials,fiber reinforced concrete
fiber reinforced polymer,phenomenon_object,Construction Materials,traditional and composite building materials,fiber reinforced polymer
fiber reinforcement,phenomenon_object,Construction Materials,traditional and composite building materials,fiber reinforcement
fiberglas,phenomenon_object,Construction Materials,traditional and composite building materials,fiberglas
fiber-reinforced concrete,phenomenon_object,Construction Materials,building materials,fiber-reinforced concrete
field dependent yield stress,concept,Construction Materials,material properties and characteristics,field dependent yield stress
fillet-weld,concept,Construction Materials,material analysis and testing,fillet-weld
fine aggregate,concept,Construction Materials,materials science,fine aggregate
fire resistance,concept,Construction Materials,material properties and characteristics,fire resistance
flexing,concept,Construction Materials,material properties and characteristics,flexing
fly ash,phenomenon_object,Construction Materials,building materials,fly ash
folding,concept,Construction Materials,material properties and characteristics,folding
foundry sand,phenomenon_object,Construction Materials,material properties and characteristics,foundry sand
galvanized steel,phenomenon_object,Construction Materials,traditional and composite building materials,galvanized steel
geopolymer concrete,phenomenon_object,Construction Materials,materials science,geopolymer concrete
glass fibre reinforced concrete,phenomenon_object,Construction Materials,building materials,glass fibre reinforced concrete
glass fibre reinforced gypsum,phenomenon_object,Construction Materials,building materials,glass fibre reinforced gypsum
glass substrate,phenomenon_object,Construction Materials,traditional and composite building materials,glass substrate
granular material,phenomenon_object,Construction Materials,building materials,granular material
graphite,phenomenon_object,Construction Materials,traditional and composite building materials,graphite
green concrete,phenomenon_object,Construction Materials,building materials,green concrete
gypsum,phenomenon_object,Construction Materials,building materials,gypsum
hardening,phenomenon_process,Construction Materials,concrete and cementitious materials,hardening
heat conductivity,concept,Construction Materials,material properties and characteristics,heat conductivity
hemp,phenomenon_object,Construction Materials,building materials,hemp
high-performance insulation,phenomenon_object,Construction Materials,materials science,high-performance insulation
