iterm,facet,domain,New Subject,lword
studio,phenomenon_object,Architecture,building type,studio
sustainable office building,phenomenon_object,Architecture,building type,sustainable office building
tall building,phenomenon_object,Architecture,building type,tall building
temporary shelter,phenomenon_object,Architecture,building type,temporary shelter
terrace house,phenomenon_object,Architecture,building type,terrace house
theme pavilion,phenomenon_object,Architecture,building type,theme pavilion
tower block,phenomenon_object,Architecture,building type,tower block
traditional building,phenomenon_object,Architecture,building type,traditional building
transport building,phenomenon_object,Architecture,building type,transport building
turbine hotel,phenomenon_object,Architecture,building type,turbine hotel
university facility,phenomenon_object,Architecture,building type,university facility
university hostel,phenomenon_object,Architecture,building type,university hostel
vacation home,phenomenon_object,Architecture,building type,vacation home
workshop,phenomenon_object,Architecture,building type,workshop
occupancy profile,concept,Architecture,building use,occupancy profile
viewing angle,concept,Architecture,cognitive psychology,viewing angle
constructability,concept,Architecture,construction integration,constructability
design for constructability,phenomenon_process,Architecture,construction integration,design for constructability
integrated design and construction,phenomenon_process,Architecture,construction integration,integrated design and construction
housebuilding,phenomenon_process,Architecture,construction integration,housebuilding
residential construction,phenomenon_process,Architecture,construction integration,housing construction
residential construction,phenomenon_process,Architecture,construction integration,residential construction
new build,concept,Architecture,construction integration,new build
self build,concept,Architecture,construction integration,self build
clash of building culture,concept,Architecture,cultural differences,clash of building culture
design evaluation,phenomenon_process,Architecture,design assessment,design evaluation
housing structural attribute,concept,Architecture,design attributes,housing structural attribute
design modification,phenomenon_process,Architecture,design changes,design modification
modification in design,phenomenon_process,Architecture,design changes,modification in design
complex geometry,concept,Architecture,design complexity,complex geometry
flexible component,concept,Architecture,design component,flexible component
open plan,concept,Architecture,design concepts,open plan
design parameter,concept,Architecture,design constraints,design parameter
suitability,concept,Architecture,design criteria,suitability
buildability,concept,Architecture,design efficiency,buildability
hybrid-fence,concept,Architecture,design elements,hybrid-fence
shade,concept,Architecture,design elements,shade
visual aspect,concept,Architecture,design elements,visual aspect
functionality,concept,Architecture,design features,functionality
geometric shape,concept,Architecture,design features,geometric shape
modularity,concept,Architecture,design flexibility,modularity
open building,concept,Architecture,design flexibility,open building
biophilic,concept,Architecture,design incorporating nature,biophilic
floorplan,concept,Architecture,design layouts,floorplan
design analysis,analytical_technique,Architecture,design method,design analysis
design collaboration,concept,Architecture,design method,design collaboration
architectural composition,concept,Architecture,design method,architectural composition
collaborative design,phenomenon_process,Architecture,design method,collaborative design
design mapping,phenomenon_process,Architecture,design method,design mapping
design method,phenomenon_process,Architecture,design method,design method
design principle,concept,Architecture,design method,design principle
design process,phenomenon_process,Architecture,design method,design process
design strategy,concept,Architecture,design method,design strategy
design technique,phenomenon_process,Architecture,design method,design technique
evidence-based design,phenomenon_process,Architecture,design method,evidence-based design
inclusive design,concept,Architecture,design method,inclusive design
intuitive design,concept,Architecture,design method,intuitive design
modular design,concept,Architecture,design method,modular design
parametric design,concept,Architecture,design method,parametric design
participatory design,concept,Architecture,design method,participatory design
performance-driven design,phenomenon_process,Architecture,design method,performance-driven design
design structure matrix,concept,Architecture,design method,design structure matrix
user adaptation,phenomenon_process,Architecture,design method,user adaptation
user engagement,concept,Architecture,design method,user engagement
user-involved design,concept,Architecture,design method,user-involved design
morphing,concept,Architecture,design methods,morphing
architectural design,phenomenon_process,Architecture,design practice,architectural design
architectural engineering,phenomenon_process,Architecture,design practice,architectural engineering
architectural visualization,concept,Architecture,design practice,architectural visualization
conceptual design,concept,Architecture,design practice,conceptual design
design decision,concept,Architecture,design practice,design decision
design specification,concept,Architecture,design practice,design specification
geometrical parameter,concept,Architecture,design practice,geometrical parameter
healthy design,concept,Architecture,design practice,healthy design
preliminary design,concept,Architecture,design practice,preliminary design
speculative design,concept,Architecture,design practice,speculative design
workplace design,concept,Architecture,design practice,workplace design
design factor,concept,Architecture,design practice,design factor
design framework,concept,Architecture,design practice,design framework
design ability,concept,Architecture,design practice,design ability
design studio,concept,Architecture,design practice,design studio
design support tool,phenomenon_process,Architecture,design practice,design support tool
spacematrix,phenomenon_process,Architecture,design practice,spacematrix
level of development,concept,Architecture,design practice,level of development
landscape design,phenomenon_process,Architecture,design practice,landscape design
nature by design,concept,Architecture,design practice,nature by design
passive house standard,analytical_technique,Architecture,design practice,passive house standard
sustainable reconstruction,phenomenon_process,Architecture,design practice,sustainable reconstruction
flexibility of living,concept,Architecture,design practice,flexibility of living
dwelling requirement,concept,Architecture,design practice,dwelling requirement
smart interior design,phenomenon_process,Architecture,design practice,smart interior design
whole building approach,phenomenon_process,Architecture,design practice,whole building approach
whole systems design,phenomenon_process,Architecture,design practice,whole systems design
design for maintainability,concept,Architecture,design practice,design for maintainability
Iranian architecture,phenomenon_process,Architecture,design practice,Iranian architecture
visualization,concept,Architecture,design practice,visualization
design science research,theoretical_framing,Architecture,design practice,design science research
student housing quality,concept,Architecture,design practice,student housing quality
energy refurbishment,phenomenon_process,Architecture,design practice,energy refurbishment
energy retrofitting,phenomenon_process,Architecture,design practice,energy retrofitting
roof,phenomenon_object,Architecture,design practice,roof
roofing,phenomenon_process,Architecture,design practice,roofing
architectural programme,concept,Architecture,design practice,architectural programme
do-it-yourself,concept,Architecture,design practice,do-it-yourself
interactive architecture,concept,Architecture,design practice,interactive architecture
intelligent building,concept,Architecture,design practice,intelligent building
space allocation,concept,Architecture,design practice,space allocation
transversal-spacing,concept,Architecture,design practice,transversal-spacing
access audit,phenomenon_process,Architecture,design practice,access audit
soft landing,concept,Architecture,design practice,soft landing
green building,concept,Architecture,design practice,green building
green office,concept,Architecture,design practice,green office
living building,concept,Architecture,design practice,living building
low-carbon building,concept,Architecture,design practice,low-carbon building
collaborative space,concept,Architecture,design practice,collaborative space
architectural technology,concept,Architecture,design practice,architectural technology
smart home,concept,Architecture,design practice,smart home
transitional space,concept,Architecture,design practice,transitional space
visual threshold,concept,Architecture,design practice,visual threshold
indoor navigation,phenomenon_process,Architecture,design practice,indoor navigation
timber construction,concept,Architecture,design practice,timber construction
co-working,concept,Architecture,design practice,co-working
building design management,phenomenon_process,Architecture,design process,building design management
space planning,phenomenon_process,Architecture,design process,space planning
concept design,concept,Architecture,design process,concept design
custom design,phenomenon_process,Architecture,design process,custom design
design and building,phenomenon_process,Architecture,design process,design and building
design and development,phenomenon_process,Architecture,design process,design and development
design development,phenomenon_process,Architecture,design process,design development
design for adaptability,phenomenon_process,Architecture,design process,design for adaptability
design for x-ability,phenomenon_process,Architecture,design process,design for x-ability
design management,phenomenon_process,Architecture,design process,design management
design model,phenomenon_process,Architecture,design process,design model
design optimization,phenomenon_process,Architecture,design process,design optimization
design practice,phenomenon_process,Architecture,design process,design practice
design workshop,phenomenon_process,Architecture,design process,design workshop
designing,phenomenon_process,Architecture,design process,designing
evaluative design process,phenomenon_process,Architecture,design process,evaluative design process
functional layout distribution,phenomenon_process,Architecture,design process,functional layout distribution
furniture design,phenomenon_process,Architecture,design process,furniture design
generative design,phenomenon_process,Architecture,design process,generative design
house design,phenomenon_process,Architecture,design process,house design
housing design,phenomenon_process,Architecture,design process,housing design
housing design unit,phenomenon_process,Architecture,design process,housing design unit
integrated design process,phenomenon_process,Architecture,design process,integrated design process
linkography,phenomenon_process,Architecture,design process,linkography
sustainable architecture,concept,Architecture,design process,sustainable architecture
sustainable design,concept,Architecture,design process,sustainable design
draft design,concept,Architecture,design process,draft design
early design stage,concept,Architecture,design process,early design stage
building morphology,concept,Architecture,design theory,building morphology
biologically inspired design,concept,Architecture,design theory,biologically inspired design
biomimetic,concept,Architecture,design theory,biomimetic
biomimetic,concept,Architecture,design theory,biomimicry
feng shui model,concept,Architecture,design theory,feng shui model
digital-modelling,phenomenon_process,Architecture,digital design,digital-modelling
speculative housebuilding,phenomenon_process,Architecture,economic development,speculative housebuilding
urban building energy model,analytical_technique,Architecture,energy efficiency,urban building energy model
lighting control,concept,Architecture,energy efficiency,lighting control
passive solar cooling,concept,Architecture,energy efficiency,passive solar cooling
window-to-wall ratio,analytical_technique,Architecture,energy efficiency,window-to-wall ratio
thermal retrofit,concept,Architecture,energy efficiency,thermal retrofit
energy flexibility of building,analytical_technique,Architecture,energy efficiency,energy flexibility of building
green retrofit,concept,Architecture,energy efficiency,green retrofit
passive system,concept,Architecture,energy efficiency,passive system
energy efficient office building,analytical_technique,Architecture,energy efficiency,energy efficient office building
low-energy building,concept,Architecture,energy efficiency,low-energy building
nearly zero-energy building,concept,Architecture,energy efficiency,nearly zero-energy building
Passivhaus,concept,Architecture,energy efficiency,Passivhaus
smart window,concept,Architecture,energy efficiency,smart window
adaptive reuse,concept,Architecture,factor and component analysis,adaptive reuse
aerodynamic,concept,Architecture,factor and component analysis,aerodynamic
aesthetic,concept,Architecture,factor and component analysis,aesthetic
alternative technology,concept,Architecture,factor and component analysis,alternative technology
ambience,concept,Architecture,factor and component analysis,ambience
anthropometry,concept,Architecture,factor and component analysis,anthropometry
antimicrobial agent,concept,Architecture,factor and component analysis,antimicrobial agent
passive house,concept,Architecture,health safety and environment,passive house
passivhaus dwelling,concept,Architecture,health safety and environment,passivhaus dwelling
zero-net energy house,concept,Architecture,health safety and environment,zero-net energy house
listed building,concept,Architecture,heritage and conservation,listed building
vernacular architecture,concept,Architecture,heritage and conservation,vernacular architecture
built heritage,concept,Architecture,heritage and conservation,built heritage
traditional architecture,concept,Architecture,heritage and conservation,traditional architecture
heritage building conservation,phenomenon_process,Architecture,heritage and conservation,heritage building conservation
heritage building conservation,phenomenon_process,Architecture,heritage and conservation,historic building renovation
traditional construction,phenomenon_process,Architecture,heritage and conservation,traditional construction
heritage management,phenomenon_process,Architecture,heritage and conservation,heritage management
historic environment,concept,Architecture,heritage and conservation,historic environment
historic site,phenomenon_object,Architecture,heritage and conservation,historic site
thatched roof,phenomenon_object,Architecture,heritage and conservation,thatched roof
mechanical-electrical-plumbing,concept,Architecture,mechanical systems,mechanical-electrical-plumbing
plumbing,concept,Architecture,mechanical systems,plumbing
activity recognition,phenomenon_process,Architecture,modelling and simulation,activity recognition
indoor building inspection,phenomenon_process,Architecture,professional practice,indoor building inspection
building specification,phenomenon_process,Architecture,professional practice,building specification
building survey,phenomenon_process,Architecture,professional practice,building survey
Royal Institute of British Architects,phenomenon_object,Architecture,professional practice,Royal Institute of British Architects
design phase,phenomenon_object,Architecture,professional practice,design phase
design stage,phenomenon_object,Architecture,professional practice,design stage
design team,phenomenon_object,Architecture,professional practice,design team
building pathology,concept,Architecture,professional practice,building pathology
building defect,phenomenon_object,Architecture,professional practice,building defect
design defect,phenomenon_object,Architecture,professional practice,design defect
design error,phenomenon_object,Architecture,professional practice,design error
design quality,phenomenon_process,Architecture,professional practice,design quality
housing design quality,phenomenon_process,Architecture,professional practice,housing design quality
spatial quality assessment,phenomenon_process,Architecture,professional practice,spatial quality assessment
design quality indicator,phenomenon_process,Architecture,professional practice,design quality indicator
airfield pavement damage,phenomenon_object,Architecture,quality of life and wellbeing,airfield pavement damage
deep renovation strategy,phenomenon_process,Architecture,renovation and retrofit,deep renovation strategy
refurbishment work,phenomenon_process,Architecture,renovation and retrofit,refurbishment work
energy renovation,phenomenon_process,Architecture,renovation and retrofit,energy renovation
housing refurbishment,phenomenon_process,Architecture,renovation and retrofit,housing refurbishment
design evidence source,empirical_technique,Architecture,research products and data,design evidence source
smart morphing,phenomenon_process,Architecture,specialized design,smart morphing
compact design,concept,Architecture,specialized design,compact design
interior design,phenomenon_process,Architecture,specialized design,interior design
building interior,phenomenon_process,Architecture,specialized design,building interior
fitout,phenomenon_process,Architecture,specialized design,fitout
interior arrangement,phenomenon_process,Architecture,specialized design,interior arrangement
internal space,phenomenon_process,Architecture,specialized design,internal space
office design,phenomenon_process,Architecture,specialized design,office design
office layout,phenomenon_process,Architecture,specialized design,office layout
bioclimatic design,concept,Architecture,sustainability and energy,bioclimatic design
building deconstruction planning,phenomenon_process,Architecture,sustainability and energy,building deconstruction planning
timber structure,concept,Architecture,sustainability and energy,timber structure
zero carbon building,concept,Architecture,sustainability and energy,zero carbon building
environmental design,phenomenon_process,Architecture,sustainability and energy,environmental design
green architecture,concept,Architecture,sustainability and energy,green architecture
lifespan-oriented design,phenomenon_process,Architecture,sustainability and energy,lifespan-oriented design
low-energy design,phenomenon_process,Architecture,sustainability and energy,low-energy design
net positive design,phenomenon_process,Architecture,sustainability and energy,net positive design
passive design,phenomenon_process,Architecture,sustainability and energy,passive design
regenerative design,phenomenon_process,Architecture,sustainability and energy,regenerative design
whole building life cycle,concept,Architecture,sustainability and energy,whole building life cycle
zero-energy building,concept,Architecture,sustainability and energy,zero-energy building
working drawing,phenomenon_object,Architecture,technical documentation,working drawing
design brief,phenomenon_process,Architecture,technical documentation,design brief
design drawing,phenomenon_process,Architecture,technical documentation,design drawing
level of detail,concept,Architecture,technical documentation,level of detail
longitudinal-spacing,concept,Architecture,technical documentation,longitudinal-spacing
design standard,concept,Architecture,technical documentation,design standard
as-built drawing,phenomenon_object,Architecture,technical documentation,as-built drawing
as-built model,phenomenon_object,Architecture,technical documentation,as-built model
drafting,phenomenon_process,Architecture,technical documentation,drafting
drawing,phenomenon_process,Architecture,technical documentation,drawing
prefabricated housing design,phenomenon_process,Architecture,urban design,prefabricated housing design
urban design,phenomenon_process,Architecture,urban design,urban design
space syntax,concept,Architecture,urban design,space syntax
town planning,phenomenon_process,Architecture,urban design,town planning
city planning,phenomenon_process,Architecture,urban design,city planning
age-friendly city,concept,Architecture,urban design,age-friendly city
age-friendly criteria,concept,Architecture,urban design,age-friendly criteria
agricultural land,concept,Architecture,urban design,agricultural land
spatial planning,phenomenon_process,Architecture,urban design,spatial planning
housing research,phenomenon_process,Architecture,urban design,housing research
user perspective,concept,Architecture,user focus,user perspective
active design,concept,Architecture,user focus,active design
adaptability,concept,Architecture,user focus,adaptability
adaptable building,concept,Architecture,user focus,adaptable building
adaptable housing,concept,Architecture,user focus,adaptable housing
adaptation,concept,Architecture,user focus,adaptation
user-centered evaluation,phenomenon_process,Architecture,user focus,user-centered evaluation
occupant satisfaction,concept,Architecture,user-centered design,occupant satisfaction
user-centered design,concept,Architecture,user-centered design,user-centered design
user experience,concept,Architecture,user-centered design,user experience
user need,concept,Architecture,user-centered design,user need
user requirement,concept,Architecture,user-centered design,user requirement
usability,concept,Architecture,user-centered design,usability
back propagation,analytical_technique,Computer Science,algorithm,back propagation
page rank,analytical_technique,Computer Science,algorithm,page rank
constraint programming,phenomenon_process,Computer Science,algorithm,constraint programming
control algorithm,phenomenon_process,Computer Science,algorithm,control algorithm
dynamic programming,phenomenon_process,Computer Science,algorithm,dynamic programming
evolutionary algorithm,phenomenon_process,Computer Science,algorithm,evolutionary algorithm
learning algorithm,phenomenon_process,Computer Science,algorithm,learning algorithm
octree,concept,Computer Science,algorithm,octree
integer programming,phenomenon_process,Computer Science,algorithms,integer programming
genetic algorithm,phenomenon_process,Computer Science,algorithms,genetic algorithm
goal programming,phenomenon_process,Computer Science,algorithms,goal programming
computational modelling technique,phenomenon_process,Computer Science,analytical methods,computational modelling technique
deep learning,concept,Computer Science,artificial intelligence,deep learning
machine learning,concept,Computer Science,artificial intelligence,machine learning
multi-agent system,concept,Computer Science,artificial intelligence,multi-agent system
neural net,concept,Computer Science,artificial intelligence,neural net
neural network,concept,Computer Science,artificial intelligence,neural network
knowledge representation and reasoning,concept,Computer Science,artificial intelligence,knowledge representation and reasoning
knowledge-based system,concept,Computer Science,artificial intelligence,knowledge-based system
artificial intelligence tool,concept,Computer Science,artificial intelligence,artificial intelligence tool
artificial intelligence,concept,Computer Science,artificial intelligence,artificial intelligence
bayesian learning,concept,Computer Science,artificial intelligence,bayesian learning
bp neural network,concept,Computer Science,artificial intelligence,bp neural network
intelligent system,concept,Computer Science,automation and robotics,intelligent system
automated process,phenomenon_process,Computer Science,automation and robotics,automated process
automation,concept,Computer Science,automation and robotics,automation
authoring,phenomenon_process,Computer Science,coding,authoring
network interventions,concept,Computer Science,communication,network interventions
message standards,concept,Computer Science,communication,message standards
interactive voice response,concept,Computer Science,communication,interactive voice response
networking,phenomenon_process,Computer Science,communication,networking
message template,concept,Computer Science,communication,message template
3D model,phenomenon_process,Computer Science,computational design,3D model
3D modelling,phenomenon_process,Computer Science,computational design,3D modelling
industry foundation classes,concept,Computer Science,computational design,industry foundation classes
computer aided design,phenomenon_process,Computer Science,computational design,computer aided design
evolutionary computation,concept,Computer Science,computational method,evolutionary computation
computational electromagnetism,phenomenon_process,Computer Science,computational methods,computational electromagnetism
computation,concept,Computer Science,computational methods,computation
hardware,phenomenon_object,Computer Science,computer hardware,hardware
mouse,phenomenon_object,Computer Science,computer hardware,mouse
graphics processing unit,phenomenon_process,Computer Science,computer hardware,graphics processing unit
electronic device,concept,Computer Science,computer hardware,electronic device
computer graphic,phenomenon_object,Computer Science,computer hardware,computer graphic
image processing,phenomenon_process,Computer Science,computer vision,image processing
machine vision,phenomenon_process,Computer Science,computer vision,machine vision
object detection,phenomenon_process,Computer Science,computer vision,object detection
object recognition,phenomenon_process,Computer Science,computer vision,object recognition
pattern recognition,phenomenon_process,Computer Science,computer vision,pattern recognition
computer vision,concept,Computer Science,computer vision,computer vision
image quality,concept,Computer Science,computer vision,image quality
high performance computing,concept,Computer Science,computing systems,high performance computing
computing,concept,Computer Science,computing systems,computing
mobile services,concept,Computer Science,computing systems,mobile services
computer system,phenomenon_object,Computer Science,computing systems,computer system
computerized system,phenomenon_object,Computer Science,computing systems,computerized system
data system,phenomenon_object,Computer Science,computing systems,data system
digital technology,concept,Computer Science,computing systems,digital technology
information and communication technology,concept,Computer Science,computing systems,information and communication technology
information technology,concept,Computer Science,computing systems,information technology
internet,concept,Computer Science,computing systems,internet
system dynamics,theoretical_framing,Computer Science,computing systems,system dynamics
location-based service,concept,Computer Science,computing systems,location-based service
data exchange,phenomenon_process,Computer Science,data exchange,data exchange
data interoperability,phenomenon_process,Computer Science,data exchange,data interoperability
data transparency,phenomenon_process,Computer Science,data exchange,data transparency
data-distribution,phenomenon_process,Computer Science,data exchange,data-distribution
information sharing,phenomenon_process,Computer Science,data exchange,information sharing
commercial information exchange,phenomenon_object,Computer Science,data exchange,commercial information exchange
information brokerage,concept,Computer Science,data exchange,information brokerage
data storage,concept,Computer Science,data management,data storage
dataset,phenomenon_object,Computer Science,data management,dataset
electronic data management,phenomenon_process,Computer Science,data management,electronic data management
information retrieval,phenomenon_process,Computer Science,data management,information retrieval
management information system,phenomenon_process,Computer Science,data management,management information system
open data,concept,Computer Science,data management,open data
real-time data,concept,Computer Science,data management,real-time data
real-time information,concept,Computer Science,data management,real-time information
reclassification,concept,Computer Science,data management,reclassification
relational database,concept,Computer Science,data management,relational database
reporting tool,concept,Computer Science,data management,reporting tool
data management,phenomenon_process,Computer Science,data management,data management
information mobility,concept,Computer Science,data management,information mobility
